Artist,Album,2022 Sales,Date Released,Last Update
AB6IX,Complete with You: Special Album,43058,2022-01-17,2022-01-31
aespa,Savage,19629,2022-01-17,2022-04-30
Apink,Horn,58641,2022-01-17,2022-02-28
ATEEZ,Zero: Fever Epilogue,3578,2022-01-17,2022-01-31
BAE173,Intersection: Blaze,16801,2022-01-17,2022-04-30
BamBam,B,87540,2022-01-17,2022-01-31
Bang Yongguk,2,6933,2022-01-17,2022-03-31
Billlie,The Collective Soul and Unconscious: Chapter One,66885,2022-01-17,2022-04-30
Blitzers,Bobbin,17719,2022-01-17,2022-01-31
Bolbbalgan4,Seoul,2596,2022-01-17,2022-04-30
Brave Girls,Thank You,33605,2022-01-17,2022-03-31
BTOB,Be Together,121528,2022-01-17,2022-03-31
Choi Yena,Smiley,84346,2022-01-17,2022-03-31
Cravity,Liberty: In Our Cosmos Part.2,123922,2022-01-17,2022-04-30
Cherry Bullet,Cherry Wish,20250,2022-01-17,2022-03-31
Def.,Love,41148,2022-01-17,2022-01-31
DKZ,"Chase, Ep.2-Maum",118583,2022-01-17,2022-04-30
Dreamcatcher,Apocalypse: Save Us,94706,2022-01-17,2022-04-30
Drippin,Villian,37535,2022-01-17,2022-04-30
E'LAST,Roar,48695,2022-01-17,2022-04-30
Enhypen,Dimension: Dilemma,27591,2022-01-17,2022-04-30
Enhypen,Dimension: Answer,621425,2022-01-17,2022-04-30
Epex,Book of Anxiety Chapter1. 21st Century Boys,71584,2022-01-17,2022-04-30
Epik High,Epik High is Here,5382,2022-01-17,2022-02-28
Eric Nam,There and Back Again,2183,2022-01-17,2022-04-30
Everglow,Return of the Girl,2450,2022-01-17,2022-01-31
fromis_9,Midnight Guest,120245,2022-01-17,2022-03-31
(G)I-dle,I Never Die,198589,2022-01-17,2022-04-30
Ghost9,Arcade: V,9311,2022-01-17,2022-04-30
Ha Sungwoon,You,18717,2022-01-17,2022-02-28
Highlight,Daydream,86293,2022-01-17,2022-04-30
